Date,Miles,Speed,Steps0,Steps1,TotalSteps,Steps/Mile,Calories,Weight
05/15/20,6,2,414,19645,19231,3205.17,510,
05/15/20,4,2,20035,32858,12823,3205.75,340,131
05/16/20,3,3,1488,8621,7133,2377.67,255,131.5
05/17/20,3,3,441,7416,6975,2325.00,255,
05/17/20,4,2,8679,20981,12302,3075.50,340,130.5
05/18/20,1,2,473,3520,3047,3047.00,85,
05/18/20,4,2,3588,15403,11815,2953.75,340,
05/18/20,3,2,15583,24838,9255,3085.00,255,132
05/19/20,4,2,4569,16228,11659,2914.75,340,
05/19/20,3,3,17494,24413,6919,2306.33,255,131
05/20/20,9,3,520,21307,20787,2309.67,765,131.5
05/21/20,3,2,868,11106,10238,3412.67,255,132
05/22/20,2,2,758,6693,5935,2967.50,170,
05/22/20,3,2,6770,15570,8800,2933.33,255,131
05/23/20,9,2,3065,29269,26204,2911.56,765,
05/23/20,1,5,29269,31320,2051,2051.00,85,129.5
05/24/20,3,3,1161,8601,7440,2480.00,255,
05/24/20,7,3,8922,25169,16247,2321.00,595,129.5
05/25/20,3,3,2037,8981,6944,2314.67,255,130
05/26/20,0,0,0,0,0,0.00,0,131
05/27/20,3,3,3388,10338,6950,2316.67,255,
05/27/20,4,3,10394,19779,9385,2346.25,340,
05/27/20,3,3,20340,27417,7077,2359.00,255,130.5
05/28/20,6,3,5534,19470,13936,2322.67,510,130
05/29/20,3,3,1111,8070,6959,2319.67,255,129.5
05/30/20,5,3,1714,13356,11642,2328.40,425,130.5
05/31/20,3,2,1364,9768,8404,2801.33,255,
05/31/20,3,2,10512,18664,8152,2717.33,255,128
06/01/20,5,2,827,15155,14328,2865.60,425,130.5
06/02/20,2,2,5625,12011,6386,3193.00,170,129.5
06/03/20,7,2,1021,27314,26293,3756.14,595,128
06/04/20,3,2,860,9467,8607,2869.00,255,
06/04/20,5,2,10107,25531,15424,3084.80,425,127
06/05/20,6,2,973,18303,17330,2888.33,510,
06/05/20,6,2,18564,38571,20007,3334.50,510,127
06/06/20,6,2,284,20096,19812,3302.00,510,
06/06/20,2,2,20300,27234,6934,3467.00,170,
06/06/20,3,2,27468,37133,9665,3221.67,255,
06/06/20,3,2,37472,46539,9067,3022.33,255,
06/06/20,3,2,46576,55524,8948,2982.67,255,
06/06/20,5,2,55712,71367,15655,3131.00,425,125.5
06/07/20,6,2,2653,20362,17709,2951.50,510,127
06/08/20,4,2,2660,15450,12790,3197.50,340,128
06/09/20,2,2,1263,7441,6178,3089.00,170,
06/09/20,5,2,7554,23214,15660,3132.00,425,126.5
06/10/20,3,2,1615,11031,9416,3138.67,255,
06/10/20,3,2,11088,20353,9265,3088.33,255,
06/10/20,2,2,20379,26560,6181,3090.50,170,126.5
06/11/20,4,2,543,12589,12046,3011.50,340,125
06/12/20,3,2,8612,17751,9139,3046.33,255,124.5
06/13/20,3,2,2018,10911,8893,2964.33,255,124.5
06/14/20,5,2,3324,18801,15477,3095.40,425,125
06/15/20,3,2,271,9551,9280,3093.33,255,125
06/16/20,10,2,1329,32731,31402,3140.20,850,124.5
06/17/20,5,2,4280,19153,14873,2974.60,425,123.5
06/18/20,3,2,2771,12298,9527,3175.67,255,
06/18/20,3,2,12785,22930,10145,3381.67,255,123
06/19/20,5,2,3173,18361,15188,3037.60,425,123.5
06/20/20,1,2,1299,4331,3032,3032.00,85,
06/20/20,2,2,4609,10623,6014,3007.00,170,123
06/21/20,3,2,3854,12633,8779,2926.33,255,125.5
06/22/20,3,2,4849,13627,8778,2926.00,255,125
06/23/20,2,2,321,6273,5952,2976.00,170,
06/23/20,2,2,6383,12254,5871,2935.50,170,
06/23/20,1,2,12786,15291,2505,2505.00,85,
06/23/20,3,2,16286,25087,8801,2933.67,255,123.5
06/24/20,6,2,3489,20800,17311,2885.17,510,
06/24/20,2,2,23255,29211,5956,2978.00,170,123.5
06/25/20,5,2,2386,17397,15011,3002.20,425,123
06/26/20,2,2,6551,13069,6518,3259.00,170,123
06/27/20,3,2,1500,10594,9094,3031.33,255,123.5
06/28/20,3,2,860,9576,8716,2905.33,255,122.5
06/29/20,4,2,1173,12884,11711,2927.75,340,121.5
06/30/20,5,2,1449,17010,15561,3112.20,425,123
07/01/20,4,2,6121,17604,11483,2870.75,340,122
07/02/20,2,2,5867,11850,5983,2991.50,170,122.5
07/03/20,3,2,1141,9929,8788,2929.33,255,
07/03/20,4,2,10150,22026,11876,2969.00,340,121
